SEROTYPE	ORGANISM	SEROGROUP	SUBSPECIES	O_ANTIGENS	H_PHASE_1	H_PHASE_2	X997_CHECK	FATE
Salmonella Carmel	sal	J		17	l,v	e,n,x		
Salmonella Carnac	sal	K		18	z10	z6		
Salmonella Carno	sal	E4		1,3,19	z	l,w		
Salmonella Carrau	sal	H		6,14,[24]	y	1,7		
Salmonella Carswell	sal	V		44	g,z51	-		
Salmonella Casablanca	sal	W		45	k	1,7		
Salmonella Casamance	sal	R		40	z	e,n,x		
Salmonella Catalunia	sal	M		28	l,z13,z28	1,5		
Salmonella Catanzaro	sal	H		6,14	g,s,t	-		
Salmonella Cayar	sal	C1,4		6,7	z	e,n,x		
Salmonella Ceres (old serotype)	sal	M	II	28	z	z39	o	
Salmonella Cerro	sal	K		.6.,.14.,18	z4,z23	[1,5]		
Salmonella Ceyco	sal	D2		9,46	k	z35		
Salmonella Chagoua	sal	G1,2		.1.,13,23	a	1,5		
Salmonella Chailey	sal	C2,3		6,8	z4,z23	e,n,z15		
Salmonella Chameleon (old serotype)	sal	I	IV	16	z4,z32	-	o	
Salmonella Champaign	sal	Q		39	k	1,5		
Salmonella Chandans	sal	F		11	d	[e,n,x]:[r]		
Salmonella Charity	sal	H		[1],6,14,[25]	d	e,n,x		old
Salmonella Charlottenburg	sal	C2,3		6,8	k	e,n,z15		
Salmonella Cheltenham	sal	D2		9,46	b	1,5		
Salmonella Chersina (old serotype)	sal	X	II	47	z	z6	o	
Salmonella Chester	sal	B		.1.,4,[5],12	e,h	e,n,x		
Salmonella Chicago	sal	M		28	r,[i]	1,5		
Salmonella Chichester	sal	E4		1,3,19	i	1,6		
Salmonella Chichiri	sal	H		6,14,24	z4,z24	-		
Salmonella Chile	sal	C1,4		6,7	z	1,2		
Salmonella Chincol	sal	C2,3		6,8	g,m,[s]	[e,n,x]		
Salmonella Chingola	sal	F		11	e,h	1,2		
Salmonella Chinovum (old serotype)	sal	T	II	42	b	1,5	o	
Salmonella Chiredzi	sal	F		11	c	1,5		
Salmonella Chittagong	sal	E1		(1),3,10,(19)	b	z35		
Salmonella Choleraesuis	sal	C1,4		6,7	[c]	1,5		
Salmonella Choleraesuis var. Kunzendorf	sal	C1,4					??	
Salmonella Chomedy	sal	C2,3		8,.20.	z10	e,n,z,15		
Salmonella Christiansborg	sal	V		44	z4,z24	-		
Salmonella Chudleigh (old serotype)	sal	E1	II	3,10	e,n,c	1,7	o	
Salmonella Clackamas	sal	B		4,12	l,v	1,6		
Salmonella Claibornei	sal	D1		.1.,9,12	k	1,5		
Salmonella Clanvillian	sal	F		11	r	e,n,z15		
Salmonella Clerkenwell	sal	E1		3,10	z	l,w		
Salmonella Cleveland	sal	C2,3		6,8	z10	1,7		
Salmonella Clichy (old serotype)	sal	E2		3,.15.	a	1,5	o	
Salmonella Clifton (old serotype)	sal	G1,2	II	13,22	z29	1,5	o	
Salmonella Clovelly (old serotype)	sal	V	II	.1.,44	z39	e,n,x,z15	o	
Salmonella Cochin	sal	D2		9,46	k	1,5		
Salmonella Cocody	sal	C2,3		8,.20.	r,i	e,n,z15		
Salmonella Coeln	sal	B		4,[5],12	y	1,2		
Salmonella Coleypark	sal	C1,4		6,7,.14.	a	l,w		
Salmonella Colindale	sal	C1,4		6,7	r	1,7		
Salmonella Colobane	sal	F		11	k	1,7		
Salmonella Colombo	sal	P		38	y	1,6		
Salmonella Colorado	sal	C1,4		6,7	l,w	1,5		
Salmonella Concord	sal	C1,4		6,7	l,v	1,2		
Salmonella Congo	sal	G1,2		13,23	g,m,s,t	-		
Salmonella Connecticut	sal	F		11	l,z13,z28	1,5		
Salmonella Constantia (old serotype)	sal	J	II	17	z	l,w:z42	o	
Salmonella Coogee	sal	T		42	l,v	e,n,z15		
Salmonella Cook (old serotype)	sal	Q		39	Rz48	1,5	o	Champaign
Salmonella Coquilhatville	sal	E1		3,10	z10	1,7		
Salmonella Coromandel	sal	C1,4		6,7	l,v	z35		
Salmonella Corvallis	sal	C2,3		8,.20.	z4,z23	[z6]		
Salmonella Cotham	sal	M		28	i	1,5		
Salmonella Cotia	sal	K		18	-	1,6		
Salmonella Cremieu	sal	C2,3		6,8	e,h	1,6		
Salmonella Crewe	sal	F		11	z	1,5		
Salmonella Croft	sal	M		28	g,m,s	[e,n,z15]		
Salmonella Crossness	sal	67		67	r	1,2		
Salmonella Cubana	sal	G1,2		.1.,13,23	z29	-		
Salmonella Cuckmere	sal	E1		3,10	i	1,2		
Salmonella Cullingworth	sal	M		28	d	l,w		
Salmonella Cumberland	sal	Q		39	i	e,n,x		
Salmonella Curacao	sal	C2,3		6,8	a	1,6		
Salmonella Cyprus	sal	C2,3		6,8	i	l,w		
Salmonella Czernyring	sal	54		54	r	1,5		
Salmonella Daarle	sal	C2,3		6,8	y	e,n,x		
Salmonella Dabou	sal	C2,3		8,.20.	z4,z23	l,w		
Salmonella Dadzie	sal	51		51	l,v	e,n,x		
Salmonella Dahlem	sal	Y		48	k	e,n,z15		
Salmonella Dahomey	sal	X		47	k	1,6		
Salmonella Dahra	sal	J		17	b	1,5		
Salmonella Dakar	sal	M		28	a	1,6		
Salmonella Dakota	sal	I		16	z35	e,n,z15		
Salmonella Dalat (old serotype)	sal	B					o	Ball
Salmonella Dallgow	sal	E4		1,3,19	z10	e,n,z15		
Salmonella Damman	sal	C1,4		6,7	a	z6		
Salmonella Dan	sal	51		51	k	e,n,z15		
Salmonella Dapango	sal	X		47	r	1,2		
Salmonella Daressalaam (old serotype)	sal	D1	II	.1.,9,12	l,w	e,n,x	o	
Salmonella Daula	sal	C2,3		8,.20.	z	z6		
Salmonella Daytona	sal	C1,4		6,7	k	1,6		
Salmonella Decatur (old serotype)	sal	no					o	Choleraesuis
Salmonella Deckstein	sal	D2		9,46	r	1,7		
Salmonella Degania (old serotype)	sal	R	II	40	z4,z24	z39	o	
Salmonella Delmenhorst	sal	K		18	z71	-		
Salmonella Dembe	sal	O		35	d	l,w		
Salmonella Demerara	sal	G1,2		13,23	z10	l,w		
Salmonella Denver	sal	C1,4		6,7	a	e,n,z15		
Salmonella Derby	sal	B		.1.,4,[5],12	f,g	[1,2]		
Salmonella Derkle	sal	52		52	e,h	1,7		
Salmonella Dessau	sal	E2		(1),3,.15.,(19)	g,s,t	-		
Salmonella Detroit (old serotype)	sal	T	II	42	z	1,5	o	
Salmonella Deversoir	sal	W		45	c	e,n,x		
Salmonella Dibra	sal	M		28	a	z6		
Salmonella Dieuppeul	sal	M		28	i	1,7		
Salmonella Diguel	sal	G1,2		.1.,13,22	d	e,n,z15		
Salmonella Diogoye	sal	C2,3		8,.20.	z41	z6		
Salmonella Diourbel	sal	L		21	i	1,2		
Salmonella Djakarta	sal	Y		48	z4,z24	-		
Salmonella Djama	sal	T		.1.,42	z29	-		
Salmonella Djelfa	sal	C2,3		8	b	1,2		
Salmonella Djermaia	sal	M		28	z29	-		
Salmonella Djibouti	sal	J		17	z10	e,n,x		
Salmonella Djugu	sal	C1,4		6,7	z10	e,n,x		
Salmonella Doba	sal	D2		9,46	a	e,n,z15		
Salmonella Doel	sal	M		28	z	1,6		
Salmonella Doncaster	sal	C2,3		6,8	a	1,5		
Salmonella Donna	sal	N		30	l,v	1,5		
Salmonella Doorn	sal	M		28	i	1,2		
Salmonella Douala	sal	M		28	i	l,w		
Salmonella Dougi	sal	Z		50	y	1,6		
Salmonella Doulassame	sal	N		30	a	e,n,z15		
Salmonella Dresden	sal	M		28	c	e,n,x		
Salmonella Driffield	sal	R		.1.,40	d	1,5		
Salmonella Drogana	sal	B		.1.,4,12,.27.	r,i	e,n,z15		
Salmonella Drypool (old serotype)	sal	E2		3,.15.	g,m,s	-	o	
Salmonella Dublin	sal	D1		.1.,9,12,[Vi]	g,p	-		
Salmonella Dubrovnik (old serotype)	sal	S	II	41	z	1,5	o	
Salmonella Duesseldorf	sal	C2,3		6,8	z4,z24	-		
Salmonella Dugbe	sal	W		45	d	1,6		
Salmonella Duisburg	sal	B		.1.,4,12,.27.	d	e,n,z15		
Salmonella Duivenhoks (old serotype)	sal	D2	II	9,46	g,m,s,t	e,n,x	o	
Salmonella Dumfries	sal	E1		3,10	r,i	1,6		
Salmonella Dunkwa	sal	C2,3		6,8	d	1,7		
Salmonella Durban	sal	D1		9,12	a	e,n,z15		
Salmonella Durbanville (old serotype)	sal	B	II	.1.,4,12,.27.	z39	1,[5],7	o	
Salmonella Durham	sal	G1,2		13,23	b	e,n,z15		
Salmonella Duval	sal	R		.1.,40	b	e,n,z15		
Salmonella Ealing	sal	O		35	g,m,s	-		
Salmonella Eastbourne	sal	D1		.1.,9,12	e,h	1,5		
Salmonella Eastglam	sal	E4		1,3,19	c	1,5		
Salmonella Eberswalde	sal	M		28	c	1,6		
Salmonella Eboko	sal	C2,3		6,8	b	1,7		
Salmonella Ebrie	sal	O		35	g,m,t	-		
Salmonella Echa	sal	P		38	k	1,2		
Salmonella Edinburg	sal	C1,4		6,7,.14.	b	1,5		
Salmonella Edmonton	sal	C2,3		6,8	l,v	e,n,z15		
Salmonella Egusi	sal	S		41	d	[1,5]		
Salmonella Egusitoo	sal	T		.1.,42	b	z6		
Salmonella Eilbek (old serotype)	sal	61	II	61	i	z	o	IIIb
Salmonella Eimsbuettel (old serotype)	sal	C1,4		6,7,.14.	d	l,w	o	
Salmonella Eingedi	sal	C1,4		6,7	f,g,t	1,2,7		
Salmonella Ejeda (old serotype)	sal	W	II	45	a	z10	o	
Salmonella Eko	sal	B		4,12	e,h	1,6		
Salmonella Ekotedo	sal	D2		9,46	z4,z23	-		
Salmonella Ekpoui	sal	X		47	z29	-		
Salmonella Elisabethville	sal	E1		3,10	r	1,7		
Salmonella Elokate	sal	D1		9,12	c	1,7		
Salmonella Elomrane	sal	D1		.1.,9,12	z38	-		
Salmonella Elsiesrivier (old serotype)	sal	I	II	16	z42	1,6	o	
Salmonella Emek	sal	C2,3		8,.20.	g,m,s	-		
Salmonella Emmastad	sal	P		38	r	1,6		
Salmonella Emmerich (old serotype)	sal	H	II	6,14	[m,t]	e,n,x	o	
Salmonella Encino	sal	H		1,6,14,25	d	l,z13,z28		
Salmonella Enschede	sal	O		35	z10	l,w		
Salmonella Entebbe	sal	B		.1.,4,12,.27	z	z6		
Salmonella enterica ss. arizonae	sal		IIIa					
Salmonella enterica ss. diarizonae	sal		IIIb					
Salmonella enterica ss. enterica	sal		I					
Salmonella enterica ss. houtenae	sal		IV					
Salmonella enterica ss. indica	sal		VI					
Salmonella enterica ss. salamae	sal		II					
Salmonella Enteritidis	sal	D1		.1.,9,12	[f],g,m,[p]	[1,7]		
Salmonella Enugu	sal	I		16	l,[z13],z28	[1,5]		
Salmonella Epicrates	sal	E1		3,10	b	l,w		
Salmonella Epinay	sal	F		11	a	l,z13.z28		
Salmonella Eppendorf	sal	B		.1.,4,12,.27.	d	1,5		
Salmonella Epping (old serotype)	sal	G1,2	II	.1.,13,23	e,n,x	1,[5],7	o	
Salmonella Erlangen (old serotype)	sal	Y	II	48	g,m,t	-	o	
Salmonella Escanaba	sal	C1,4		6,7	k	e,n,z15		
Salmonella Eschberg	sal	D1		9,12	d	1,7		
Salmonella Eschersheim (old serotype)	sal	E2		3,.15.	d	e,n,x	o	
Salmonella Eschweiler	sal	C1,4		6,7	z10	1,6		
Salmonella Essen	sal	B		4,12	g,m	-		
Salmonella Etosha (old serotype)	sal	Y	II	48	d	1,2	o	
Salmonella Etterbeek	sal	F		11	z4,z23	e,n,z15		
Salmonella Euston	sal	F		11	r,i	e,n,x,z15		
Salmonella Everleigh	sal	E1		3,10	z29	e,n,x		
Salmonella Ezra	sal	M		28	z	1,7		
Salmonella Fairfield	sal	M		28	r	l,w		
Salmonella Fajara	sal	M		28	l,z28	e,n,x		
Salmonella Faji	sal	T		.1.,42	a	e,n,z15		
Salmonella Falkensee	sal	E1		3,10	i	e,n,z15		
Salmonella Fallowfield	sal	E1		3,10	l,z13,z28	e,n,z15		
Salmonella Fandran (old serotype)	sal	R	II	.1.,40	z35	e,n,x,z15	o	
Salmonella Fann	sal	F		11	l,v	e,n,x		
Salmonella Fanti	sal	G1,2		13,23	z38	-		
Salmonella Farakan	sal	M		28	z10	1,5		
Salmonella Farcha	sal	U		43	y	1,2		
Salmonella Fareham	sal	E4		1,3,19	r,i	l,w		
Salmonella Farmsen	sal	G1,2		13,23	z	1,6		
Salmonella Farsta	sal	B		4,12	i	e,n,x		
Salmonella Fass	sal	Z		50	l,v	1,2		
Salmonella Faure (old serotype)	sal	Z	II	50	z42	1,7	o	
Salmonella Fayed	sal	C2,3		6,8	l,w	1,2		
Salmonella Ferlac (old serotype)	sal	H	VI	1,6,14,25	a	e,n,x	o	
Salmonella Ferlo	sal	S		41	k	1,6		
Salmonella Ferruch	sal	C2,3		8	e,h	1,5		
Salmonella Finaghy	sal	B		4,12	y	1,6		
Salmonella Finchley (old serotype)	sal	E1	II	3,10	z	e,n,x	o	
Salmonella Findorff	sal	F		11	d	z6		
Salmonella Finkenwerder	sal	H		[1],6,14,[25]	d	1,5		
Salmonella Fischerhuette	sal	I		16	a	e,n,z15		
Salmonella Fischerkietz	sal	H		1,6,14,25	y	e,n,x		
Salmonella Fischerstrasse	sal	V		44	d	e,n,z15		
Salmonella Fitzroy	sal	Y		48	e,h	1,5		
Salmonella Flint (old serotype)	sal	Z	IV	50	z4,z23	-	o	
Salmonella Florian	sal	E1		3,10	z4,z24	-		
Salmonella Florida	sal	H		[1],6,14,[25]	d	1,7		
Salmonella Flottbek	sal	52		52	b	[e,n,x]		
Salmonella Fluntern	sal	K		.6.,.14.,18	b	1,5		
Salmonella Fomeco	sal	W		45	b	e,n,z15		
Salmonella Fortlamy	sal	I		16	z	1,6		
Salmonella Fortune	sal	B		.1.,4,12,.27.	z10	z6		
Salmonella Foulpointe (old serotype)	sal	P	II	38	g,t	-	o	
Salmonella Franken	sal	D1		9,12	i	e,n,z15		
Salmonella Frankfurt	sal	I		16	i	e,n,z15		
Salmonella Freefalls	sal	M		28	b	l,w		
Salmonella Freetown	sal	P		38	y	1,5		
Salmonella Freiburg	sal	E1		3,10	l,z13	1,2		
Salmonella Fremantle (old serotype)	sal	T	II	42	g,t	-	o	
Salmonella Fresno	sal	D2		9,46	z38	-		
Salmonella Friedenau	sal	G1,2		13,22	d	1,6		
Salmonella Friedrichsfelde	sal	M		28	f,g	-		
Salmonella Frintrop	sal	D1		.1.,9,12	b	1,5		
Salmonella Fufu	sal	E1		3,10	z	1,5		
Salmonella Fuhlsbuettel (old serotype)	sal	E1	II	3,10	l,v	z6	o	
Salmonella Fulda	sal	E4		1,3,19	l,w	1,5		
Salmonella Fulica	sal	B		4,[5],12	a	1,5		
Salmonella Fyris	sal	B		4,[5],12	l,v	1,2		
Salmonella Gabon	sal	C1,4		6,7	l,w	1,2		
Salmonella Gafsa	sal	I		16	c	1,6		
Salmonella Galiema	sal	C1,4		6,7,.14.	k	1,2		
Salmonella Galil	sal	E1		3,10	a	e,n,z15		
Salmonella Gallen	sal	F		11	a	1,2		
Salmonella Gallinarum	sal	D1		.1.,9,12	-	-		
Salmonella Gamaba	sal	V		.1.,44	g,m,[s]	-		
Salmonella Gambaga	sal	L		21	z35	e,n,z15		
Salmonella Gambia	sal	O		35	i	e,n,z15		
Salmonella Gaminara	sal	I		16	d	1,7		
Salmonella Garba	sal	H		1,6,14,25	a	1,5		
Salmonella Garoli	sal	C1,4		6,7	i	1,6		
Salmonella Gassi	sal	O		35	e,h	z6		
Salmonella Gateshead	sal	D2		9,46	g,s,t	-		
Salmonella Gatineau	sal	E4		1,3,19	y	1,5		
Salmonella Gatow	sal	C1,4		6,7	y	1,7		
Salmonella Gatuni	sal	C2,3		6,8	b	e,n,x		
Salmonella Gbadago	sal	E1		3,10	c	1,5		
Salmonella Gdansk	sal	C1,4		6,7	l,v	z6		
Salmonella Gege	sal	N		30	r	1,5		
Salmonella Gelsenkirchen (old serotype)	sal	C1,4		6,7,.14.	l,v	z6	o	
Salmonella Georgia	sal	C1,4		6,7	b	e,n,z15		
Salmonella Gera	sal	T		.1.,42	z4,z23	1,6		
Salmonella Geraldton	sal	D2		9,46	l,v	1,6		
Salmonella Gerland	sal	I		16	z	1,5		
Salmonella Germiston (old serotype)	sal	C2,3	II	6,8	m,t	e,n,x	o	
Salmonella Ghana	sal	L		21	b	1,6		
Salmonella Giessen	sal	N		30	g,m,s	-		
Salmonella Gilbert (old serotype)	sal	C1,4	II	6,7	z39	1,5,7	o	
Salmonella Give	sal	E1		3,10	[d],l,v	1,7		
Salmonella Giza	sal	C2,3		8,.20.	y	1,2		
Salmonella Glasgow	sal	I		16	b	1,6		
Salmonella Glencairn (old serotype)	sal	F	II	11	a	z6:z42	o	
Salmonella Glidji	sal	F		11	l,w	1,5		
Salmonella Glostrup	sal	C2,3		6,8	z10	e,n,z15		
Salmonella Gloucester	sal	B		.1.,4,12,.27.	i	l,w		
Salmonella Gnesta	sal	E4		1,3,19	b	1,5		
Salmonella Godesberg	sal	N		30	g,m	-		
Salmonella Goelzau	sal	E1		3,10	a	1,5		
Salmonella Goerlitz (old serotype)	sal	E2		3,.15.	e,h	1,2	o	
Salmonella Goeteborg	sal	D1		9,12	c	1,5		
Salmonella Goettingen	sal	D1		9,12	l,v	e,n,z15		
Salmonella Gojenberg (old serotype)	sal	G1,2	II	.1.,13,23	g,t	1,5	o	
Salmonella Gokul	sal	51		.1.,51	d	[1,5]		
Salmonella Goldcoast	sal	C2,3		6,8	r	l,w		
Salmonella Goma	sal	C1,4		6,7	z4,z23	z6		
Salmonella Gombe	sal	C1,4		6,7,.14.	d	e,n,z15		
Salmonella Good	sal	L		21	f,g	e,n,x		
Salmonella Goodwood (old serotype)	sal	G1,2	II	13,22	z29	e,n,x	o	
Salmonella Gori	sal	J		17	z	1,2		
Salmonella Goulfey	sal	R		.1.,40	k	1,5		
Salmonella Gouloumbo	sal	O		35	c	1,5		
Salmonella Goverdhan	sal	D1		9,12	k	1,6		
Salmonella Gozo	sal	M		28	e,h	e,n,z15		
Salmonella Grabouw (old serotype)	sal	F	II	11	g,[m],s,t	z39	o	
Salmonella Grampian	sal	C1,4		6,7	r	l,w		
Salmonella Grancanaria	sal	I		16	z39	1,6		
Salmonella Grandhaven	sal	N		30	r	1,2		
Salmonella Granlo	sal	J		17	l,z28	e,n,x		
Salmonella Graz	sal	U		43	a	1,2		
Salmonella Greenside (old serotype)	sal	Z	II	50	z	e,n,x	o	
Salmonella Greiz	sal	R		40	a	z6		
Salmonella Groenekan	sal	K		18	d	1,5		
Salmonella Group C1 (old)	sal	C1						
Salmonella Group C2 (old)	sal	C2						
Salmonella Group C3 (old)	sal	C3						
Salmonella Group C4 (old)	sal	C4						
Salmonella Group D1 (old)	sal	D1						
Salmonella Group D2 (old)	sal	D2						
Salmonella Group D3 (old)	sal	D3						
Salmonella Group E1 (old)	sal	E1						
Salmonella Group E2 (old)	sal	E2						
Salmonella Group E3 (old)	sal	E3						
Salmonella Group E4 (old)	sal	E4						
Salmonella Group G1 (old)	sal	G1						
Salmonella Group G2 (old)	sal	G2						
Salmonella Group O:1,3,19 (E4)	sal	E4						
Salmonella Group O:11 (F)	sal	F						
Salmonella Group O:13 (G)	sal	G						
Salmonella Group O:16 (I)	sal	I						
Salmonella Group O:17 (J)	sal	J						
Salmonella Group O:18 (K)	sal	K						
Salmonella Group O:2 (A)	sal	A						
Salmonella Group O:21 (L)	sal	l						
Salmonella Group O:28 (M)	sal	M						
Salmonella Group O:3,10 (E1)	sal	E1						
Salmonella Group O:30 (N)	sal	N						
Salmonella Group O:35 (O)	sal	O						
Salmonella Group O:38 (P)	sal	P						
Salmonella Group O:39 (Q)	sal	Q						
Salmonella Group O:4 (B)	sal	B						
Salmonella Group O:40 (R)	sal	R						
Salmonella Group O:41 (S)	sal	S						
Salmonella Group O:42 (T)	sal	T						
Salmonella Group O:43 (U)	sal	Y						
Salmonella Group O:44 (V)	sal	V						
Salmonella Group O:45 (W)	sal	W						
Salmonella Group O:47 (X)	sal	X						
Salmonella Group O:48 (Y)	sal	Y						
Salmonella Group O:50 (Z)	sal	Z						
Salmonella Group O:51	sal	51						
Salmonella Group O:52	sal	52						
Salmonella Group O:53	sal	53						
Salmonella Group O:54	sal	54						
Salmonella Group O:55	sal	55						
Salmonella Group O:56	sal	56						
Salmonella Group O:57	sal	57						
Salmonella Group O:58	sal	58						
Salmonella Group O:59	sal	59						
Salmonella Group O:6,14 (H)	sal	H						
Salmonella Group O:60	sal	60						
Salmonella Group O:61	sal	61						
Salmonella Group O:62	sal	62						
Salmonella Group O:63	sal	63						
Salmonella Group O:64	sal	64						
Salmonella Group O:65	sal	65						
Salmonella Group O:66	sal	66						
Salmonella Group O:67	sal	67						
Salmonella Group O:7 (C1)	sal	C1						
Salmonella Group O:8 (C2-C3)	sal	C2,3						
Salmonella Group O:9 (D1)	sal	D1						
Salmonella Group O:9,46 (D2)	sal	D2						
Salmonella Group O:9,46,27 (D3)	sal	D3						
Salmonella Grumpensis	sal	G1,2		13,23	d	1,7		
Salmonella Grunty (old serotype)	sal	R	II	.1.,40	z39	1,6	o	
Salmonella Guarapiranga	sal	N		30	a	e,n,x		
Salmonella Guerin	sal	D2		9,46	e,h	z6		
Salmonella Guildford	sal	M		28	k	1,2		
Salmonella Guinea	sal	V		44	z10	[1,7]		
Salmonella Gustavia	sal	F		11	d	1,5		
Salmonella Gwaai (old serotype)	sal	L	II	21	z4,z23	-	o	
Salmonella Gwale	sal	T		.1.,42	k	z6		
Salmonella Gwoza	sal	E4		1,3,19	a	e,n,z15		
Salmonella Haardt	sal	C2,3		8	k	1,5		
Salmonella Haarlem (old serotype)	sal	D2	II	9,46	z	e,n,x	o	
Salmonella Hadar	sal	C2,3		6,8	z10	e,n,x		
Salmonella Haddon (old serotype)	sal	I	II	16	z4,z23	-	o	
Salmonella Hadejia	sal	J		17	y	e,n,z15		
Salmonella Haelsingborg	sal	C1,4		6,7	m,p,t,[u]	-		
Salmonella Haferbreite	sal	T		42	k	1,6		
Salmonella Haga	sal	O		35	z38	-		
Salmonella Hagenbeck (old serotype)	sal	Y	II	48	d	z6	o	
Salmonella Haïfa	sal	B		.1.,4,[5],12	z10	1,2		
Salmonella Halle	sal	M		28	c	1,7		
Salmonella Hallfold	sal	B		.1.,4,12,.27.	c	l,w		
Salmonella Halmstad (old serotype)	sal	E2		3,.15.	g,s,t	-	o	
Salmonella Hamburg (old serotype)	sal	D1	II	.1.,9,12	g,m,[s],t	[1,5,7]:[z42]	o	with II Manica, II Muizenberg
Salmonella Hamilton (old serotype)	sal	E1					o	Vejle var 15+,[Rz27]
Salmonella Hammonia (old serotype)	sal	Y	II	48	e,n,x,z15	z6	o	
Salmonella Handen	sal	G1,2		.1.,13,23	d	1,2		
Salmonella Hann	sal	R		40	k	e,n,x		
Salmonella Hannover	sal	I		16	a	1,2		
Salmonella Haouaria	sal	G1,2		13,22	c	e,n,x,z15		
Salmonella Harburg	sal	H		[1],6,14,[25]	k	1,5		
Salmonella Harcourt	sal	51		51	l,v	1,2		
Salmonella Harleystreet	sal	E1		3,10	z	1,6		
Salmonella Harmelen (old serotype)	sal	51	IV	51	z4,z23	-	o	
Salmonella Harrisonburg	sal	E3		3,.15.,.34.	z10	1,6		
Salmonella Hartford	sal	C1,4		6,7	y	e,n,x:[z67]		
Salmonella Harvestehude	sal	T		.1.,42	y	z6		
Salmonella Hatfield	sal	M		28	d	1,6		
Salmonella Hato	sal	B		4,[5],12	g,m,s	-		
Salmonella Havana	sal	G1,2		.1.,13,23	f,g,[s]	-		
Salmonella Hayindogo	sal	E4		1,3,19	e,h	1,6		
Salmonella Heerlen	sal	F		11	i	1,6		
Salmonella Hegau	sal	Q		39	z10	-		
Salmonella Heidelberg	sal	B		.1.,4,[5],12	r	1,2		
Salmonella Heilbron (old serotype)	sal	C1,4	II	6,7	l,z28	1,5:[z42]	o	
Salmonella Helsinki (old serotype)	sal	B	II	.1.,4,12	z29	[e,n,x]	o	
Salmonella Hemingford	sal	Z		50	d	1,5		
Salmonella Hennekamp	sal	T		42	z35	e,n,z15		
Salmonella Hennepin	sal	S	II	41	d	z6	??	
Salmonella Hermannswerder	sal	M		28	c	1,5		
Salmonella Heron	sal	I		16	a	z6		
Salmonella Herston	sal	C2,3		6,8	d	e,n,z15		
Salmonella Herzliya	sal	F		11	y	e,n,x		
Salmonella Hessarek	sal	B		4,12,.27.	a	1,5		
Salmonella Heves (old serotype)	sal	H		6,14,[24]	d	1,5	o	
Salmonella Hidalgo	sal	C2,3		6,8	r	e,n,z15		
Salmonella Hiduddify	sal	C2,3		6,8	l,z13,z28	1,5		
Salmonella Hillbrow (old serotype)	sal	J	II	17	b	e,n,x,z15	o	
Salmonella Hillegersberg	sal	D2		9,46	z35	1,5		
Salmonella Hillingdon	sal	D2		9,46	g,m	-		
Salmonella Hillsborough	sal	C1,4		6,7	z41	l,w		
Salmonella Hilversum	sal	N		30	k	1,2		
Salmonella Hindmarsh	sal	C2,3		8,.20.	r	1,5		
Salmonella Hirschfeldii (old serotype)	sal	no					o	Paratyphi C
Salmonella Hisingen	sal	Y		48	a	1,5,7		
Salmonella Hissar	sal	C1,4		6,7,.14.	c	1,2		
Salmonella Hithergreen	sal	I		16	c	e,n,z15		
Salmonella Hoboken	sal	E1		3,10	i	l,w		
Salmonella Hofit	sal	Q		39	i	1,5		
Salmonella Hoghton	sal	E1		3,10	l,z13,z28	z6		
Salmonella Holcomb	sal	C2,3		6,8	l,v	e,n,x		
Salmonella Homosassa	sal	H		1,6,14,25	z	1,5		
Salmonella Honelis	sal	M		28	a	e,n,z15		
Salmonella Hongkong	sal	E4		1,3,19	z	z6		
Salmonella Hooggraven (old serotype)	sal	Z	II	50	z10	z6:z42	o	
Salmonella Horsham	sal	H		1,6,14,[25]	l,v	e,n,x		
Salmonella Houten (old serotype)	sal	U	IV	43	z4,z23	-	o	
Salmonella Huddinge	sal	E1		3,10	z	1,7		
Salmonella Hueningen (old serotype)	sal	D1	II	9,12	z	z39	o	
Salmonella Huettwilen	sal	B		.1.,4,12	]a	l,w		
Salmonella Huila (old serotype)	sal	F	II	11	l,z28	e,n,x	o	
Salmonella Hull	sal	I		16	b	1,2		
Salmonella Humber (old serotype)	sal	53	II	53	z4,z24	-	o	
Salmonella Huvudsta	sal	E1		3,10	b	1,7		
Salmonella Hvittingfoss	sal	I		16	b	e,n,x		
Salmonella Hydra	sal	L		21	c	1,6		
Salmonella Ibadan	sal	G1,2		13,22	b	1,5		
Salmonella Ibaragi	sal	L		21	y	1,2		
Salmonella Idikan	sal	G1,2		.1.,13,23	i	1,5		
Salmonella Ikayi	sal	E1		3,10	c	1,6		
Salmonella Ikeja	sal	M		28	k	1,7		
Salmonella Ilala	sal	M		28	k	1,5		
Salmonella Illinois (old serotype)	sal	E3		3,.15.,.34.	z10	1,5	o	
Salmonella Ilugun	sal	E1		(1),3,10,(19)	z4,z23	z6		
Salmonella Imo	sal	W		45	l,v	[e,n,z15]		
Salmonella Inchpark	sal	C2,3		6,8	y	1,7		
Salmonella India	sal	D2		9,46	l,v	1,5		
Salmonella Indiana	sal	B		.1.,4,12,	z	1,7		
Salmonella Infantis	sal	C1,4		6,7,.14.	r	1,5		
Salmonella Inganda	sal	C1,4		6,7	z10	1,5		
Salmonella Inglis	sal	D2		9,46	z10	e,n,x		
Salmonella Inpraw	sal	S		41	z10	e,n,x		
Salmonella Inverness	sal	P		38	k	1,6		
Salmonella Ipeko	sal	D1		9,12	c	1,6		
Salmonella Ipswich	sal	S		41	z4,z24	[1,5]		
Salmonella Irchel	sal	D2		9,46	y	e,n,x		
Salmonella Irenea	sal	J		17	k	1,5		
Salmonella Irigny	sal	U		43	z38	-		
